ID,Description
gene303,ID=gene303;Name=SMU_294;Dbxref=GeneID:1029370;gbkey=Gene;locus_tag=SMU_294;old_locus_tag=SMU.294
gene304,ID=gene304;Name=SMU_295;Dbxref=GeneID:1029390;gbkey=Gene;locus_tag=SMU_295;old_locus_tag=SMU.295
gene305,ID=gene305;Name=SMU_296;Dbxref=GeneID:1027871;gbkey=Gene;locus_tag=SMU_296;old_locus_tag=SMU.296
gene308,ID=gene308;Name=SMU_299c;Dbxref=GeneID:1027873;gbkey=Gene;locus_tag=SMU_299c;old_locus_tag=SMU.299c
gene310,ID=gene310;Name=SMU_301;Dbxref=GeneID:1027872;gbkey=Gene;locus_tag=SMU_301;old_locus_tag=SMU.301
gene311,ID=gene311;Name=SMU_302;Dbxref=GeneID:1027875;gbkey=Gene;locus_tag=SMU_302;old_locus_tag=SMU.302
gene314,ID=gene314;Name=SMU_305;Dbxref=GeneID:1027877;gbkey=Gene;locus_tag=SMU_305;old_locus_tag=SMU.305
gene316,ID=gene316;Name=SMU_308;Dbxref=GeneID:1027876;gbkey=Gene;locus_tag=SMU_308;old_locus_tag=SMU.308
gene318,ID=gene318;Name=SMU_310;Dbxref=GeneID:1029445;gbkey=Gene;locus_tag=SMU_310;old_locus_tag=SMU.310
gene319,ID=gene319;Name=SMU_311;Dbxref=GeneID:1028201;gbkey=Gene;locus_tag=SMU_311;old_locus_tag=SMU.311
gene320,ID=gene320;Name=SMU_312;Dbxref=GeneID:1027880;gbkey=Gene;locus_tag=SMU_312;old_locus_tag=SMU.312
gene321,ID=gene321;Name=SMU_313;Dbxref=GeneID:1029420;gbkey=Gene;locus_tag=SMU_313;old_locus_tag=SMU.313
gene329,ID=gene329;Name=SMU_325;Dbxref=GeneID:1027886;gbkey=Gene;locus_tag=SMU_325;old_locus_tag=SMU.325
gene330,ID=gene330;Name=SMU_326;Dbxref=GeneID:1029391;gbkey=Gene;locus_tag=SMU_326;old_locus_tag=SMU.326
gene331,ID=gene331;Name=SMU_327;Dbxref=GeneID:1027885;gbkey=Gene;locus_tag=SMU_327;old_locus_tag=SMU.327
gene336,ID=gene336;Name=SMU_332;Dbxref=GeneID:1029534;gbkey=Gene;locus_tag=SMU_332;old_locus_tag=SMU.332
gene338,ID=gene338;Name=SMU_334;Dbxref=GeneID:1027892;gbkey=Gene;locus_tag=SMU_334;old_locus_tag=SMU.334
gene339,ID=gene339;Name=SMU_335;Dbxref=GeneID:1029354;gbkey=Gene;locus_tag=SMU_335;old_locus_tag=SMU.335
gene341,ID=gene341;Name=SMU_337;Dbxref=GeneID:1027894;gbkey=Gene;locus_tag=SMU_337;old_locus_tag=SMU.337
gene344,ID=gene344;Name=SMU_340;Dbxref=GeneID:1027896;gbkey=Gene;locus_tag=SMU_340;old_locus_tag=SMU.340
gene353,ID=gene353;Name=SMU_350;Dbxref=GeneID:1027901;gbkey=Gene;locus_tag=SMU_350;old_locus_tag=SMU.350
gene354,ID=gene354;Name=SMU_t34;Dbxref=GeneID:2886059;gbkey=Gene;locus_tag=SMU_t34
gene357,ID=gene357;Name=SMU_352;Dbxref=GeneID:1029440;gbkey=Gene;locus_tag=SMU_352;old_locus_tag=SMU.352
gene358,ID=gene358;Name=SMU_353;Dbxref=GeneID:1029049;gbkey=Gene;locus_tag=SMU_353;old_locus_tag=SMU.353
gene359,ID=gene359;Name=SMU_354;Dbxref=GeneID:1027905;gbkey=Gene;locus_tag=SMU_354;old_locus_tag=SMU.354
gene360,ID=gene360;Name=SMU_355;Dbxref=GeneID:1029386;gbkey=Gene;locus_tag=SMU_355;old_locus_tag=SMU.355
gene367,ID=gene367;Name=SMU_362;Dbxref=GeneID:1027908;gbkey=Gene;locus_tag=SMU_362;old_locus_tag=SMU.362
gene370,ID=gene370;Name=gltA;Dbxref=GeneID:1027910;gbkey=Gene;gene=gltA;locus_tag=SMU_365;old_locus_tag=SMU.365
gene371,ID=gene371;Name=gltB;Dbxref=GeneID:1027912;gbkey=Gene;gene=gltB;locus_tag=SMU_366;old_locus_tag=SMU.366
gene373,ID=gene373;Name=SMU_368c;Dbxref=GeneID:1029401;gbkey=Gene;locus_tag=SMU_368c;old_locus_tag=SMU.368c
gene374,ID=gene374;Name=SMU_369c;Dbxref=GeneID:1027914;gbkey=Gene;locus_tag=SMU_369c;old_locus_tag=SMU.369c
gene379,ID=gene379;Name=SMU_374;Dbxref=GeneID:1027915;gbkey=Gene;locus_tag=SMU_374;old_locus_tag=SMU.374
gene381,ID=gene381;Name=SMU_376;Dbxref=GeneID:1028099;gbkey=Gene;locus_tag=SMU_376;old_locus_tag=SMU.376
gene384,ID=gene384;Name=SMU_381c;Dbxref=GeneID:1027917;gbkey=Gene;locus_tag=SMU_381c;old_locus_tag=SMU.381c
gene386,ID=gene386;Name=SMU_383c;Dbxref=GeneID:1027921;gbkey=Gene;locus_tag=SMU_383c;old_locus_tag=SMU.383c
gene392,ID=gene392;Name=SMU_389;Dbxref=GeneID:1027925;gbkey=Gene;locus_tag=SMU_389;old_locus_tag=SMU.389
gene394,ID=gene394;Name=SMU_391c;Dbxref=GeneID:1027924;gbkey=Gene;locus_tag=SMU_391c;old_locus_tag=SMU.391c
gene400,ID=gene400;Name=SMU_399;Dbxref=GeneID:1027927;gbkey=Gene;locus_tag=SMU_399;old_locus_tag=SMU.399
gene401,ID=gene401;Name=SMU_400;Dbxref=GeneID:1027931;gbkey=Gene;locus_tag=SMU_400;old_locus_tag=SMU.400
gene402,ID=gene402;Name=SMU_401c;Dbxref=GeneID:1027930;gbkey=Gene;locus_tag=SMU_401c;old_locus_tag=SMU.401c
gene407,ID=gene407;Name=SMU_406c;Dbxref=GeneID:1027935;gbkey=Gene;locus_tag=SMU_406c;old_locus_tag=SMU.406c
gene409,ID=gene409;Name=SMU_408;Dbxref=GeneID:1027934;gbkey=Gene;locus_tag=SMU_408;old_locus_tag=SMU.408
gene413,ID=gene413;Name=SMU_412c;Dbxref=GeneID:1027939;gbkey=Gene;locus_tag=SMU_412c;old_locus_tag=SMU.412c
